"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"City","Fort Myers","Fort Myers","FL","Fort Myers, FL","""Cape Coral-Fort Myers, FL""",91,1.91475591715976,85.71,,,202900,-0.0984736582964057,0.0493096646942801,0.0128684080827994,,0.0817515498413768,0.0298421036391305,125.5
"City","Knoxville","Knoxville","TN","Knoxville, TN","""Knoxville, TN""",92,7.0155325443787,,,,134200,0.978179082016554,7.61828388131516,0.0338152011922503,,0.0985011835564876,0.0163078082914302,63
"City","Laredo","Laredo","TX","Laredo, TX","""Laredo, TX""",93,9.8539201183432,100,,,126400,0.958466453674121,6.12930310663308,0.0464082278481013,,,,89
"City","North Las Vegas","North Las Vegas","NV","Las Vegas, NV","""Las Vegas-Henderson-Paradise, NV""",94,4.12814349112426,78.61,10.4942,2.2342,225900,1.30044843049327,15.9055926115957,0.0780566622399292,,0.192244960470019,0.0627579617000458,53
"City","Lawrenceville","Lawrenceville","GA","Atlanta, GA","""Atlanta-Sandy Springs-Roswell, GA""",95,7.90403106508876,,,,192700,0.837257980115123,7.23427935447969,0.0418785677218474,,0.0786032691623983,0.0388492591942184,60
"City","Fremont","Fremont","CA","San Francisco, CA","""San Francisco-Oakland-Hayward, CA""",96,9.54974112426036,100,2.5191,0.1813,990100,0.917337682193456,8.4209373631187,0.038013331986668,,0.0324242537681653,0.00480832438190492,40
"City","Fayetteville","Fayetteville","NC","Fayetteville, NC","""Fayetteville, NC""",97,3.40791420118343,50,9.6578,7.5608,114900,0.5249343832021,4.07608695652174,0.0389208006962576,,,,107.5
"City","Springfield","Springfield","MO","Springfield, MO","""Springfield, MO""",98,4.22429733727811,,,,116800,0.516351118760757,0.171526586620926,0.0361986301369863,,0.127515931663495,0.0181883232377458,66
"City","Arlington","Arlington","VA","Washington, VA","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",99,3.43934911242604,91.67,,,647400,-0.169622205088666,2.77821876488331,0.0131943157244363,,0.108570869176347,0.00736863670455987,63.5
"City","Irving","Irving","TX","Dallas-Fort Worth, TX","""Dallas-Fort Worth-Arlington, TX""",100,9.84097633136095,100,1.4992,0.2186,191700,0.788643533123028,8.61189801699717,0.0468753260302557,,,,59
"City","Gilbert","Gilbert","AZ","Phoenix, AZ","""Phoenix-Mesa-Scottsdale, AZ""",101,6.86390532544379,90.82,4.0542,0.3471,304700,0.461589185624794,6.16724738675958,0.0270955037742042,,0.102839663577724,0.0143084241316613,55
"City","Scottsdale","Scottsdale","AZ","Phoenix, AZ","""Phoenix-Mesa-Scottsdale, AZ""",102,7.47133875739645,83.61,2.2153,0.5442,434700,0.323101777059774,5.02536844648466,0.023618587531631,,0.0899219067032733,0.0125843715340016,79
"City","Rochester","Rochester","NY","Rochester, NY","""Rochester, NY""",103,7.46764053254438,,,,87500,0.344036697247706,11.0406091370558,0.0453142857142856,,0.0762079102530577,0.115986084656415,86
"City","Winston-Salem","Winston-Salem","NC","Winston-Salem, NC","""Winston-Salem, NC""",104,3.65292159763314,77.62,5.1199,4.5061,127100,0.63341250989707,7.98640611724724,0.0332179386309992,,0.105467106494834,0.0374605925110872,72
"City","Irvine","Irvine","CA","Los Angeles-Long Beach-Anaheim, CA","""Los Angeles-Long Beach-Anaheim, CA""",105,8.14534023668639,90.44,1.209,0.4799,799100,0.402060560371906,2.97680412371134,0.0117532223751722,,0.0592579642312815,0.010371556180124,62
